meter,price_sec
20003,2.19
30002,4.02
30003,5.76
30003,6.73
30004,3.06
30004,3.06
30004,3.06
30004,3.06
30004,3.06
30004,13.56
30004,10.04
30004,10.53
30004,9.22
30004,10.33
30004,7.77
30004,5.59
30004,8.68
30004,8.68
30004,8.68
30004,2.93
30004,5.76
30004,37.33
30004,2.94
30004,2.94
30004,2.94
30004,2.94
30004,3.67
30004,2.94
30004,4.44
30004,3.33
30004,2.94
30004,2.94
30004,2.94
30004,4.69
30004,7.04
30004,9.69
30004,6.21
30004,11.62
30004,8.8
30004,7.04
30004,6.84
30004,6.21
30004,9.69
30004,11.62
30004,7.75
30004,9.69
30004,3.66
30004,3.46
30004,15
30005,8.68
30005,2.64
30005,6.62
30006,6.6
30006,6.6
30006,1.36
30006,1.69
30006,1.69
30006,1.69
30006,1.69
30006,1.69
30006,1.69
30006,1.69
30006,2.41
30006,10.8
30006,5.57
30006,3.24
30006,1.62
30006,1.77
30006,1.77
30006,1.77
30006,1.77
30006,1.77
30006,3.24
30006,2.41
30006,3.23
30006,3.23
30006,3.23
30006,2.75
30006,2.75
30006,11.76
30006,8.62
30006,9.66
30006,10.71
30006,10.71
30006,11.76
30006,11.76
30006,1.33
30006,2.09
30006,40.17
30006,28.38
30006,31.15
30006,31.41
30006,30.98
30006,28.38
30006,28.38
30006,28.89
30006,28.38
30006,36.63
30006,28.38
30006,35.91
30006,31.23
30006,30.02
30006,32.71
30006,31.42
30006,28.38
30006,34.36
30006,43.89
30006,47.28
30006,32.01
30006,32.01
30006,43.2
30006,40.6
30006,43.29
30006,28.38
30006,38.26
30006,42.77
30006,28.38
30006,28.38
30006,33.05
30006,34.7
30006,31.84
30006,37.3
30006,28.38
30006,32.37
30006,28.98
30006,28.38
30006,28.38
30006,40.33
30006,31.23
30006,29.59
30006,40.52
30006,32.97
30006,28.38
30006,32.37
30006,39.73
30006,40.77
30006,37.91
30006,59.85
30006,59.85
30006,59.16
30006,58.29
30006,37.91
30006,40.77
30006,37.91
30006,53.61
30006,40.52
30006,51.45
30006,41.12
30006,37.91
30006,43.54
30006,39.04
30006,34.53
30006,30.45
30006,28.38
30006,32.79
30006,34.97
30006,40.26
30006,39.22
30006,41.73
30006,37.91
30006,33.74
30006,31.06
30006,28.38
30006,31.67
30006,33.74
30006,30.89
30006,28.38
30006,28.38
30006,31.41
30006,30.02
30006,28.38
30006,28.38
30006,39.57
30006,41.65
30006,34.53
30006,39.56
30006,32.01
30006,35.91
30006,32.02
30006,30.19
30006,30.19
30006,36.35
30006,28.38
30006,31.41
30006,39.04
30006,28.38
30006,28.38
30006,28.38
30006,34.01
30006,28.38
30006,46.15
30006,46.66
30006,45.28
30006,38.52
30006,39.57
30006,41.47
30006,39.22
30006,28.38
30006,28.38
30006,28.38
30006,30.02
30006,34.61
30006,34.01
30006,2.85
30006,2.68
30006,2.68
30006,2.85
30006,2.68
30006,18.93
30006,13.25
30006,15.78
30006,15.78
30006,15.78
30006,17.67
30006,17.67
30006,15.78
30006,13.25
